    z_comp(1)    z_comp(2)    z_comp(3) loop_x       Tflash       Pflash      cond(1)   stabvar(1)  phasfrac(1)      x(01;1)      x(02;1)      x(03;1)      cond(2)   stabvar(2)  phasfrac(2)      x(01;2)      x(02;2)      x(03;2)      cond(3)   stabvar(3)  phasfrac(3)      x(01;3)      x(02;3)      x(03;3)      cond(4)   stabvar(4)  phasfrac(4)      x(01;4)      x(02;4)      x(03;4)      cond(5)   stabvar(5)  phasfrac(5)      x(01;5)      x(02;5)      x(03;5)      cond(6)   stabvar(6)  phasfrac(6)      x(01;6)      x(02;6)      x(03;6)      conv_FE       conv_x  phfr<0   swref  stvr<0   toosm  collps         x_rf        NR_rf       MI_aux  
  9.90000E-01  5.00000E-03  5.00000E-03      4  2.39134E+02  1.22019E+05           S1  0.00000E+00  0.00000E+00  8.85440E-01  1.14560E-01  0.00000E+00            L  3.31378E-01  0.00000E+00  1.00000E+00  2.21303E-09  5.95190E-10            V  0.00000E+00  5.63879E-03  2.08429E-04  7.85211E-01  2.14581E-01            L  1.19796E+00  0.00000E+00  1.02961E-03  3.88577E-01  6.10393E-01           S2  0.00000E+00  7.85650E-02  9.44474E-01  7.28515E-03  4.82406E-02          ICE  0.00000E+00  9.15796E-01  1.00000E+00  1.58881E-09  4.27307E-10  2.75857E-14  2.60438E-09       0       0       0       0       0  1.99612E-07  1.08155E-08  3.39089E-02  
  9.90000E-01  5.00000E-03  5.00000E-03      4  2.39319E+02  1.23239E+05           S1  0.00000E+00  0.00000E+00  8.85443E-01  1.14557E-01  0.00000E+00            L  3.29504E-01  0.00000E+00  1.00000E+00  2.20853E-09  5.93935E-10            V  0.00000E+00  5.63472E-03  2.10542E-04  7.85200E-01  2.14590E-01            L  1.19462E+00  0.00000E+00  1.03729E-03  3.89117E-01  6.09845E-01           S2  0.00000E+00  7.86388E-02  9.44474E-01  7.31978E-03  4.82058E-02          ICE  0.00000E+00  9.15727E-01  1.00000E+00  1.58855E-09  4.27206E-10  1.34723E-14  2.64875E-09       0       0       0       0       0  2.03242E-07  1.08074E-08  3.38342E-02  
  9.90000E-01  5.00000E-03  5.00000E-03      4  2.39504E+02  1.24472E+05           S1  0.00000E+00  0.00000E+00  8.85446E-01  1.14554E-01  0.00000E+00            L  3.27628E-01  0.00000E+00  1.00000E+00  2.20403E-09  5.92680E-10            V  0.00000E+00  5.63062E-03  2.12676E-04  7.85189E-01  2.14599E-01            L  1.19128E+00  0.00000E+00  1.04503E-03  3.89658E-01  6.09297E-01           S2  0.00000E+00  7.87131E-02  9.44475E-01  7.35457E-03  4.81709E-02          ICE  0.00000E+00  9.15656E-01  1.00000E+00  1.58829E-09  4.27104E-10  1.01429E-14  2.69445E-09       0       0       0       0       0  2.06936E-07  1.07954E-08  3.37597E-02  
  9.90000E-01  5.00000E-03  5.00000E-03      4  2.39689E+02  1.25716E+05           S1  0.00000E+00  0.00000E+00  8.85449E-01  1.14551E-01  0.00000E+00            L  3.25750E-01  0.00000E+00  1.00000E+00  2.19953E-09  5.91424E-10            V  0.00000E+00  5.62649E-03  2.14831E-04  7.85178E-01  2.14607E-01            L  1.18794E+00  0.00000E+00  1.05282E-03  3.90201E-01  6.08746E-01           S2  0.00000E+00  7.87879E-02  9.44475E-01  7.38951E-03  4.81358E-02          ICE  0.00000E+00  9.15586E-01  1.00000E+00  1.58803E-09  4.26999E-10  8.13029E-15  2.74077E-09       0       0       0       0       0  2.10698E-07  1.07851E-08  3.36851E-02  
  9.90000E-01  5.00000E-03  5.00000E-03      4  2.39874E+02  1.26973E+05           S1  0.00000E+00  0.00000E+00  8.85451E-01  1.14549E-01  0.00000E+00            L  3.23871E-01  0.00000E+00  1.00000E+00  2.19504E-09  5.90167E-10            V  0.00000E+00  5.62232E-03  2.17008E-04  7.85168E-01  2.14615E-01            L  1.18460E+00  0.00000E+00  1.06066E-03  3.90744E-01  6.08195E-01           S2  0.00000E+00  7.88633E-02  9.44475E-01  7.42461E-03  4.81005E-02          ICE  0.00000E+00  9.15514E-01  1.00000E+00  1.58777E-09  4.26893E-10  1.76284E-14  2.78779E-09       0       0       0       0       0  2.14531E-07  1.07769E-08  3.36107E-02  
  9.90000E-01  5.00000E-03  5.00000E-03      4  2.40060E+02  1.28243E+05           S1  0.00000E+00  0.00000E+00  8.85454E-01  1.14546E-01  0.00000E+00            L  3.21989E-01  0.00000E+00  1.00000E+00  2.19056E-09  5.88908E-10            V  0.00000E+00  5.61813E-03  2.19206E-04  7.85159E-01  2.14622E-01            L  1.18126E+00  0.00000E+00  1.06856E-03  3.91289E-01  6.07642E-01           S2  0.00000E+00  7.89393E-02  9.44475E-01  7.45988E-03  4.80651E-02          ICE  0.00000E+00  9.15443E-01  1.00000E+00  1.58751E-09  4.26785E-10  8.61448E-15  2.83576E-09       0       0       0       0       0  2.18433E-07  1.07668E-08  3.35363E-02  
  9.90000E-01  5.00000E-03  5.00000E-03      4  2.40246E+02  1.29526E+05           S1  0.00000E+00  0.00000E+00  8.85457E-01  1.14543E-01  0.00000E+00            L  3.20106E-01  0.00000E+00  1.00000E+00  2.18607E-09  5.87649E-10            V  0.00000E+00  5.61390E-03  2.21427E-04  7.85149E-01  2.14629E-01            L  1.17792E+00  0.00000E+00  1.07652E-03  3.91835E-01  6.07089E-01           S2  0.00000E+00  7.90159E-02  9.44475E-01  7.49530E-03  4.80295E-02          ICE  0.00000E+00  9.15370E-01  1.00000E+00  1.58725E-09  4.26676E-10  1.13962E-14  2.88489E-09       0       0       0       0       0  2.22405E-07  1.07551E-08  3.34620E-02  
  9.90000E-01  5.00000E-03  5.00000E-03      4  2.40432E+02  1.30821E+05           S1  0.00000E+00  0.00000E+00  8.85460E-01  1.14540E-01  0.00000E+00            L  3.18221E-01  0.00000E+00  1.00000E+00  2.18159E-09  5.86389E-10            V  0.00000E+00  5.60964E-03  2.23670E-04  7.85141E-01  2.14636E-01            L  1.17457E+00  0.00000E+00  1.08454E-03  3.92382E-01  6.06533E-01           S2  0.00000E+00  7.90930E-02  9.44475E-01  7.53089E-03  4.79937E-02          ICE  0.00000E+00  9.15297E-01  1.00000E+00  1.58698E-09  4.26564E-10  5.57193E-15  2.93458E-09       0       0       0       0       0  2.26452E-07  1.07467E-08  3.33878E-02  
  9.90000E-01  5.00000E-03  5.00000E-03      4  2.40618E+02  1.32129E+05           S1  0.00000E+00  0.00000E+00  8.85463E-01  1.14537E-01  0.00000E+00            L  3.16334E-01  0.00000E+00  1.00000E+00  2.17712E-09  5.85128E-10            V  0.00000E+00  5.60535E-03  2.25935E-04  7.85132E-01  2.14642E-01            L  1.17123E+00  0.00000E+00  1.09261E-03  3.92931E-01  6.05977E-01           S2  0.00000E+00  7.91707E-02  9.44476E-01  7.56663E-03  4.79578E-02          ICE  0.00000E+00  9.15224E-01  1.00000E+00  1.58672E-09  4.26451E-10  5.26813E-15  2.98524E-09       0       0       0       0       0  2.30573E-07  1.07370E-08  3.33136E-02  
  9.90000E-01  5.00000E-03  5.00000E-03      4  2.40805E+02  1.33450E+05           S1  0.00000E+00  0.00000E+00  8.85466E-01  1.14534E-01  0.00000E+00            L  3.14445E-01  0.00000E+00  1.00000E+00  2.17265E-09  5.83866E-10            V  0.00000E+00  5.60103E-03  2.28223E-04  7.85124E-01  2.14647E-01            L  1.16788E+00  0.00000E+00  1.10074E-03  3.93480E-01  6.05419E-01           S2  0.00000E+00  7.92490E-02  9.44476E-01  7.60254E-03  4.79218E-02          ICE  0.00000E+00  9.15150E-01  1.00000E+00  1.58645E-09  4.26336E-10  1.38370E-14  3.03714E-09       0       0       0       0       0  2.34768E-07  1.07263E-08  3.32396E-02  
  9.90000E-01  5.00000E-03  5.00000E-03      4  2.40992E+02  1.34785E+05           S1  0.00000E+00  0.00000E+00  8.85469E-01  1.14531E-01  0.00000E+00            L  3.12554E-01  0.00000E+00  1.00000E+00  2.16818E-09  5.82603E-10            V  0.00000E+00  5.59667E-03  2.30534E-04  7.85117E-01  2.14653E-01            L  1.16453E+00  0.00000E+00  1.10893E-03  3.94031E-01  6.04860E-01           S2  0.00000E+00  7.93279E-02  9.44476E-01  7.63862E-03  4.78855E-02          ICE  0.00000E+00  9.15075E-01  1.00000E+00  1.58619E-09  4.26218E-10  1.19618E-14  3.09002E-09       0       0       0       0       0  2.39040E-07  1.07157E-08  3.31656E-02  
  9.90000E-01  5.00000E-03  5.00000E-03      4  2.41179E+02  1.36133E+05           S1  0.00000E+00  0.00000E+00  8.85472E-01  1.14528E-01  0.00000E+00            L  3.10662E-01  0.00000E+00  1.00000E+00  2.16371E-09  5.81339E-10            V  0.00000E+00  5.59229E-03  2.32868E-04  7.85110E-01  2.14657E-01            L  1.16118E+00  0.00000E+00  1.11717E-03  3.94583E-01  6.04300E-01           S2  0.00000E+00  7.94074E-02  9.44476E-01  7.67485E-03  4.78491E-02          ICE  0.00000E+00  9.15000E-01  1.00000E+00  1.58592E-09  4.26100E-10  4.21263E-15  3.14351E-09       0       0       0       0       0  2.43392E-07  1.07071E-08  3.30916E-02  
  9.90000E-01  5.00000E-03  5.00000E-03      4  2.41367E+02  1.37494E+05           S1  0.00000E+00  0.00000E+00  8.85475E-01  1.14525E-01  0.00000E+00            L  3.08767E-01  0.00000E+00  1.00000E+00  2.15925E-09  5.80074E-10            V  0.00000E+00  5.58787E-03  2.35225E-04  7.85103E-01  2.14662E-01            L  1.15783E+00  0.00000E+00  1.12548E-03  3.95136E-01  6.03738E-01           S2  0.00000E+00  7.94875E-02  9.44476E-01  7.71125E-03  4.78125E-02          ICE  0.00000E+00  9.14925E-01  1.00000E+00  1.58565E-09  4.25979E-10  5.94324E-15  3.19812E-09       0       0       0       0       0  2.47824E-07  1.06975E-08  3.30178E-02  
  9.90000E-01  5.00000E-03  5.00000E-03      4  2.41555E+02  1.38869E+05           S1  0.00000E+00  0.00000E+00  8.85477E-01  1.14523E-01  0.00000E+00            L  3.06871E-01  0.00000E+00  1.00000E+00  2.15480E-09  5.78809E-10            V  0.00000E+00  5.58341E-03  2.37607E-04  7.85097E-01  2.14666E-01            L  1.15448E+00  0.00000E+00  1.13385E-03  3.95691E-01  6.03175E-01           S2  0.00000E+00  7.95682E-02  9.44476E-01  7.74782E-03  4.77758E-02          ICE  0.00000E+00  9.14848E-01  1.00000E+00  1.58538E-09  4.25856E-10  1.21087E-14  3.25367E-09       0       0       0       0       0  2.52337E-07  1.06887E-08  3.29440E-02  
  9.90000E-01  5.00000E-03  5.00000E-03      4  2.41743E+02  1.40258E+05           S1  0.00000E+00  0.00000E+00  8.85480E-01  1.14520E-01  0.00000E+00            L  3.04973E-01  0.00000E+00  1.00000E+00  2.15034E-09  5.77542E-10            V  0.00000E+00  5.57892E-03  2.40011E-04  7.85091E-01  2.14669E-01            L  1.15112E+00  0.00000E+00  1.14227E-03  3.96247E-01  6.02611E-01           S2  0.00000E+00  7.96495E-02  9.44477E-01  7.78455E-03  4.77389E-02          ICE  0.00000E+00  9.14772E-01  1.00000E+00  1.58511E-09  4.25731E-10  3.88084E-15  3.31059E-09       0       0       0       0       0  2.56931E-07  1.06778E-08  3.28703E-02  
  9.90000E-01  5.00000E-03  5.00000E-03      4  2.41931E+02  1.41660E+05           S1  0.00000E+00  0.00000E+00  8.85483E-01  1.14517E-01  0.00000E+00            L  3.03073E-01  0.00000E+00  1.00000E+00  2.14589E-09  5.76274E-10            V  0.00000E+00  5.57440E-03  2.42440E-04  7.85086E-01  2.14672E-01            L  1.14776E+00  0.00000E+00  1.15076E-03  3.96804E-01  6.02045E-01           S2  0.00000E+00  7.97314E-02  9.44477E-01  7.82145E-03  4.77018E-02          ICE  0.00000E+00  9.14694E-01  1.00000E+00  1.58484E-09  4.25605E-10  1.40478E-14  3.36845E-09       0       0       0       0       0  2.61610E-07  1.06672E-08  3.27967E-02  
